# of Objects	Object	Ore	Ingot	Nugget	Compressed Block	Catalyst	Deprecated 1	Deprecated 2	Compound Small	Compound Medium	Compound Large	Compound Industrial	Compound Small(2)	Compound Medium(2)	Compound Large(2)	Compound Industrial(2)	Element Small	Element Medium	Element Large	Element Industrial	Bag (Pellets)	Sack (Pellets)	Powder Keg (Pellets)	Chemical Silo (Pellets)	Polymer Block	Polymer Slab	Polymer Stairs	Brick	Mold	Molded Item	Mask	Wafer	Electronics	DNA Sampler	Cell Culture Dish	Polycraft Headgear	Polycraft Chest	Polycraft Leggings	Polycraft Feet	Polycraft Hoe	Polycraft Spade	Polycraft Pickaxe	Polycraft Axe	Polycraft Sword	Inventory	Gripped Tool	Pogo Stick	Custom Object	Internal Object	Minecraft Item	Minecraft Block
4592	Object	Magnesium Ore	Magnesium Ingot	Magnesium Nugget	Block of Magnesium	Platinum Catalyst	Bag (PolyIsoPrene Pellets)	Vial (Crude Oil)	Flask (1,1,1,2-Tetrafluoroethane)	Cartridge (1,1,1,2-Tetrafluoroethane)	Canister (1,1,1,2-Tetrafluoroethane)	Chemical Tank (1,1,1,2-Tetrafluoroethane)	Vial (Antifreeze)	Beaker (Antifreeze)	Drum (Antifreeze)	Chemical Vat (Antifreeze)	Flask (Hydrogen)	Cartridge (Hydrogen)	Canister (Hydrogen)	Chemical Tank (Hydrogen)	Vial (Acrylic-Formaldehyde Resin)	Beaker (Acrylic-Formaldehyde Resin)	Drum (Acrylic-Formaldehyde Resin)	Chemical Vat (Acrylic-Formaldehyde Resin)	Block (AF Resin)	Slab (AF Resin)	Stairs (AF Resin)	ABS Brick (1 x 1)	Mold (Grip)	Grip (Natural Rubber)	Mask (Solar Cell)(PR Backplane)	Silicon Wafer	Solar Cell	DNA Sampler (Pig)	Cell Culture Dish (Pig)	Rubber Shower Cap	Rubber Shirt	Rubber Wading Pants	Rubber Booties	Composite Steel Hoe	Composite Steel Spade	Composite Steel Pickaxe	Composite Steel Axe	Composite Steel Sword	Tree Tap	Gripped Iron Shovel	Wooden Pogo Stick	Metal Screw	Oil	Iron Shovel	Air
58	Polycraft Headgear	0	0	0	0	Lead Oxide Catalyst	Vial (Phenolic Resin)	Beaker (Hexane Isomers)	Vial (Acetylene)	Beaker (Acetylene)	Drum (Acetylene)	Chemical Vat (Acetylene)	Bag (4-Nitroaniline)	Sack (4-Nitroaniline)	Powder Keg (4-Nitroaniline)	Chemical Silo (4-Nitroaniline)	Bag (Germanium)	Sack (Germanium)	Powder Keg (Germanium)	Chemical Silo (Germanium)	Bag (Poly2-6-Dimethyl-1-4-Phenylene Ether Pellets)	Sack (Poly2-6-Dimethyl-1-4-Phenylene Ether Pellets)	Powder Keg (Poly2-6-Dimethyl-1-4-Phenylene Ether Pellets)	Chemical Silo (Poly2-6-Dimethyl-1-4-Phenylene Ether Pellets)	Block (PDPE)	Slab (PDPE)	Stairs (PDPE)	0	Mold (HAM Radio Case)	Fibers (EPDM)	Mask (DSP)(PR Backplane)	Wafer (Low Power Radio)	0	0	0	Sporty Nylon Baseball Cap	Sporty Nylon Windbreaker	Sporty Nylon Stockings	Sporty Nylon Footie	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Polycrafting Table	'[2]Gripped Tools'!#REF!	0	Flashlight Shaft	0	String	Tallgrass
58	Polycraft Chest	0	0	0	0	Ruthenium Catalyst	Bag (Poly(3-Hydroxybutyrate-Co-3-Hydroxyvalerate) Pellets)	Drum (Hexane Isomers)	Vial (Acetylsalicylic Acid)	Beaker (Acetylsalicylic Acid)	Drum (Acetylsalicylic Acid)	Chemical Vat (Acetylsalicylic Acid)	Flask (Nitric Oxide)	Cartridge (Nitric Oxide)	Canister (Nitric Oxide)	Chemical Tank (Nitric Oxide)	Bag (Arsenic)	Sack (Arsenic)	Powder Keg (Arsenic)	Chemical Silo (Arsenic)	Bag (Poly-2-Hydroxy Butyrate Pellets)	Sack (Poly-2-Hydroxy Butyrate Pellets)	Powder Keg (Poly-2-Hydroxy Butyrate Pellets)	Chemical Silo (Poly-2-Hydroxy Butyrate Pellets)	Block (PHB)	Slab (PHB)	Stairs (PHB)	0	Mold (Air Quality Detector Case)	Fibers (EVA)	Mask (DSP)(PR n-Type Semiconductor)	Wafer (DSP) (1 of 8)	0	0	0	Ripstop Nylon Beanie	Ripstop Nylon Track Suit	Ripstop Nylon Track Pants	Ripstop Nylon Cleats	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	Cannon	'[2]Gripped Tools'!#REF!	0	Metalized PET film	0	Feather	Deadbush
58	Polycraft Leggings	0	0	0	0	Iridium Catalyst	Bag (Poly1-Butene Pellets)	Vial (Light Naphtha)	Vial (Acrylic Acid)	Beaker (Acrylic Acid)	Drum (Acrylic Acid)	Chemical Vat (Acrylic Acid)	Bag (p-Hexachloroxylene)	Sack (p-Hexachloroxylene)	Powder Keg (p-Hexachloroxylene)	Chemical Silo (p-Hexachloroxylene)	Bag (Selenium)	Sack (Selenium)	Powder Keg (Selenium)	Chemical Silo (Selenium)	Bag (Poly2-Hydroxyethyl Methacrylate Pellets)	Sack (Poly2-Hydroxyethyl Methacrylate Pellets)	Powder Keg (Poly2-Hydroxyethyl Methacrylate Pellets)	Chemical Silo (Poly2-Hydroxyethyl Methacrylate Pellets)	Block (PHEMA)	Slab (PHEMA)	Stairs (PHEMA)	0	0	Fibers (HDPE)	Mask (DSP)(PR p-Type Semiconductor)	Wafer (DSP) (2 of 8)	0	0	0	Cheap Leisure Hat	Cheap Leisure Suit	Cheap Leisure Pants	Cheap Leisure Shoes	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	GravelCannonTeir1	'[2]Gripped Tools'!#REF!	0	Diamond-PolyIsoPrene Heated Knife	0	Gunpowder	Piston
58	Polycraft Feet	0	0	0	0	Chromium (VI) Oxide Catalyst	Bag (Poly2-6-Dimethyl-1-4-Phenylene Ether Pellets)	Beaker (Light Naphtha)	Vial (Adipic Acid)	Beaker (Adipic Acid)	Drum (Adipic Acid)	Chemical Vat (Adipic Acid)	Bag (m-Hexachloroxylene)	Sack (m-Hexachloroxylene)	Powder Keg (m-Hexachloroxylene)	Chemical Silo (m-Hexachloroxylene)	Vial (Bromine)	Beaker (Bromine)	Drum (Bromine)	Chemical Vat (Bromine)	Bag (PolyAcrylic Acid Pellets)	Sack (PolyAcrylic Acid Pellets)	Powder Keg (PolyAcrylic Acid Pellets)	Chemical Silo (PolyAcrylic Acid Pellets)	Block (PAA)	Slab (PAA)	Stairs (PAA)	0	0	Fibers (HNBR)	Mask (DSP)(PR Dielectric)	Wafer (DSP) (3 of 8)	0	0	0	Comfortable Cap	Comfortable Bathrobe	Comfortable Bathrobe pants	Comfortable Slippers	 Hoe	 Spade	 Pickaxe	 Axe	 Sword	GravelCannonTeir2	'[2]Gripped Tools'!#REF!	0	Diamond-PolyPropylene Heated Knife	0	Wooden Hoe	Piston Head
35	Polycraft Hoe	0	0	0	0	Vanadium Pentoxide Catalyst	Bag (Poly-2-Hydroxy Butyrate Pellets)	Drum (Light Naphtha)	Vial (Aldehyde-Collidine)	Beaker (Aldehyde-Collidine)	Drum (Aldehyde-Collidine)	Chemical Vat (Aldehyde-Collidine)	Bag (o-Hexachloroxylene)	Sack (o-Hexachloroxylene)	Powder Keg (o-Hexachloroxylene)	Chemical Silo (o-Hexachloroxylene)	Flask (Krypton)	Cartridge (Krypton)	Canister (Krypton)	Chemical Tank (Krypton)	Bag (PolyAcrylonitrile Pellets)	Sack (PolyAcrylonitrile Pellets)	Powder Keg (PolyAcrylonitrile Pellets)	Chemical Silo (PolyAcrylonitrile Pellets)	Block (PAN)	Slab (PAN)	Stairs (PAN)	0	0	Fibers (Butyl Rubber)	Mask (DSP)(PR Inner Traces)	Wafer (DSP) (4 of 8)	0	0	0	Ski Beanie	Ski Jacket	Ski Pants	Ski Boots						GravelCannonTeir3	'[2]Gripped Tools'!#REF!	0	Diamond-PEEK Heated Knife		Stone Hoe	Wool
35	Polycraft Spade	0	0	0	0	0	Bag (Poly2-Hydroxyethyl Methacrylate Pellets)	Vial (Heavy Naphtha)	Vial (Alkyd Resin)	Beaker (Alkyd Resin)	Drum (Alkyd Resin)	Chemical Vat (Alkyd Resin)	Bag (Terephthaloyl Chloride)	Sack (Terephthaloyl Chloride)	Powder Keg (Terephthaloyl Chloride)	Chemical Silo (Terephthaloyl Chloride)	Bag (Rubidium)	Sack (Rubidium)	Powder Keg (Rubidium)	Chemical Silo (Rubidium)	Bag (PolyButadiene (low-cis) Pellets)	Sack (PolyButadiene (low-cis) Pellets)	Powder Keg (PolyButadiene (low-cis) Pellets)	Chemical Silo (PolyButadiene (low-cis) Pellets)	Block (PBR (low grade))	Slab (PBR (low grade))	Stairs (PBR (low grade))	0	0	Fibers (Lignin)	Mask (DSP)(PR Through Vias)	Wafer (DSP) (5 of 8)	0	0	0	The Emperor's New Hat	The Emperor's New Jacket	The Emperor's New Pants	The Emperor's New Shoes						0	'[2]Gripped Tools'!#REF!	0	Stainless-PolyIsoPrene Heated Knife		Iron Hoe	Piston Extension
35	Polycraft Pickaxe	0	0	0	0	0	Bag (PolyAcrylic Acid Pellets)	Beaker (Heavy Naphtha)	Bag (Aluminium Ammonium Sulfate)	Sack (Aluminium Ammonium Sulfate)	Powder Keg (Aluminium Ammonium Sulfate)	Chemical Silo (Aluminium Ammonium Sulfate)	Bag (Isophthaloyl Chloride)	Sack (Isophthaloyl Chloride)	Powder Keg (Isophthaloyl Chloride)	Chemical Silo (Isophthaloyl Chloride)	Bag (Strontium)	Sack (Strontium)	Powder Keg (Strontium)	Chemical Silo (Strontium)	Bag (PolyButadiene (high-cis) Pellets)	Sack (PolyButadiene (high-cis) Pellets)	Powder Keg (PolyButadiene (high-cis) Pellets)	Chemical Silo (PolyButadiene (high-cis) Pellets)	Block (PBR (high grade))	Slab (PBR (high grade))	Stairs (PBR (high grade))	0	0	Fibers (LLDPE)	Mask (DSP)(PR Outer Traces)	Wafer (DSP) (6 of 8)	0	0	0	Fine Polyester Top Hat	Fine Polyester Dress Jacket	Fine Polyester Dress Pants	Fine Polyester Dress Shoes						0	'[2]Gripped Tools'!#REF!	0	Stainless-PolyPropylene Heated Knife		Diamond Hoe	Yellow Flower
35	Polycraft Axe	0	0	0	0	0	Bag (PolyAcrylonitrile Pellets)	Drum (Heavy Naphtha)	Bag (Aluminium Hydroxide)	Sack (Aluminium Hydroxide)	Powder Keg (Aluminium Hydroxide)	Chemical Silo (Aluminium Hydroxide)	Vial (Cyclohexanol)	Beaker (Cyclohexanol)	Drum (Cyclohexanol)	Chemical Vat (Cyclohexanol)	Bag (Yttrium)	Sack (Yttrium)	Powder Keg (Yttrium)	Chemical Silo (Yttrium)	Bag (PolyButylene Succinate Pellets)	Sack (PolyButylene Succinate Pellets)	Powder Keg (PolyButylene Succinate Pellets)	Chemical Silo (PolyButylene Succinate Pellets)	Block (PBS)	Slab (PBS)	Stairs (PBS)	0	0	Fibers (LCP)	Mask (DSP)(PR Encapsulation)	Wafer (DSP) (7 of 8)	0	0	0	Reliable Polyester Tamoshanter	Reliable Polyester Cardigan	Reliable Polyester Trousers	Reliable Polyester Shoes						0	'[2]Gripped Tools'!#REF!	0	Stainless-PEEK Heated Knife		Golden Hoe	Red Flower
35	Polycraft Sword	0	0	0	0	0	Bag (PolyButadiene (low-cis) Pellets)	Vial (Light Naphthenes)	Bag (Aluminium Oxide)	Sack (Aluminium Oxide)	Powder Keg (Aluminium Oxide)	Chemical Silo (Aluminium Oxide)	Vial (Nitrobenzene)	Beaker (Nitrobenzene)	Drum (Nitrobenzene)	Chemical Vat (Nitrobenzene)	Bag (Zirconium)	Sack (Zirconium)	Powder Keg (Zirconium)	Chemical Silo (Zirconium)	Bag (PolyButylene Terephthalate Pellets)	Sack (PolyButylene Terephthalate Pellets)	Powder Keg (PolyButylene Terephthalate Pellets)	Chemical Silo (PolyButylene Terephthalate Pellets)	Block (PBT)	Slab (PBT)	Stairs (PBT)	0	0	Fibers (LDPE)	Mask (Digital Analog Convertor)(PR Backplane)	Wafer (DSP)	0	0	0	Corduroy Hat	Corduroy Jacket	Corduroy Pants	Corduroy Slippers						0	'[2]Gripped Tools'!#REF!	0	Heated Knife Handle		Wheat Seeds	Brown Mushroom
36	Inventory	0	0	0	0	0	Bag (PolyButadiene (high-cis) Pellets)	Beaker (Light Naphthenes)	Bag (Aluminium Potassium Sulfate)	Sack (Aluminium Potassium Sulfate)	Powder Keg (Aluminium Potassium Sulfate)	Chemical Silo (Aluminium Potassium Sulfate)	Vial (Aniline)	Beaker (Aniline)	Drum (Aniline)	Chemical Vat (Aniline)	Bag (Niobium)	Sack (Niobium)	Powder Keg (Niobium)	Chemical Silo (Niobium)	Bag (PolyCaprolactone Pellets)	Sack (PolyCaprolactone Pellets)	Powder Keg (PolyCaprolactone Pellets)	Chemical Silo (PolyCaprolactone Pellets)	Block (PCL)	Slab (PCL)	Stairs (PCL)	0	0	Fibers (MDPE)	Mask (Digital Analog Convertor)(PR Semiconductor)	Wafer (Digital Analog Convertor) (1 of 5)	0	0	0	Yoga Hat	Yoga Top	Yoga Pants	Yoga Shoes						0	'[2]Gripped Tools'!#REF!	0	Running Shoes (Sprinter)		Wheat	Red Mushroom
25	Gripped Tool	0	0	0	0	0	Bag (PolyButylene Succinate Pellets)	Drum (Light Naphthenes)	Bag (Aluminium Sulfate)	Sack (Aluminium Sulfate)	Powder Keg (Aluminium Sulfate)	Chemical Silo (Aluminium Sulfate)	Vial (Diphenylmethane Diisocyanate)	Beaker (Diphenylmethane Diisocyanate)	Drum (Diphenylmethane Diisocyanate)	Chemical Vat (Diphenylmethane Diisocyanate)	Bag (Molybdenum)	Sack (Molybdenum)	Powder Keg (Molybdenum)	Chemical Silo (Molybdenum)	Bag (PolyCarbonate Pellets)	Sack (PolyCarbonate Pellets)	Powder Keg (PolyCarbonate Pellets)	Chemical Silo (PolyCarbonate Pellets)	Block (PC)	Slab (PC)	Stairs (PC)	0	0	Fibers (MFP)	Mask (Digital Analog Convertor)(PR Dielectric)	Wafer (Digital Analog Convertor) (2 of 5)	0	0	0	Thermal Hat	Thermal Henley	Thermal Long Johns	Thermal Shoes						0	'[2]Gripped Tools'!#REF!	0	Lead-Acid Battery (1-Cell)		Bread	Gold Block
11	Pogo Stick	0	0	0	0	0	Bag (PolyButylene Terephthalate Pellets)	Vial (Light Olefins)	Bag (Aluminoxane)	Sack (Aluminoxane)	Powder Keg (Aluminoxane)	Chemical Silo (Aluminoxane)	Vial (Toluene Diisocyanate)	Beaker (Toluene Diisocyanate)	Drum (Toluene Diisocyanate)	Chemical Vat (Toluene Diisocyanate)	Bag (Technetium)	Sack (Technetium)	Powder Keg (Technetium)	Chemical Silo (Technetium)	Bag (PolyChloroPrene Pellets)	Sack (PolyChloroPrene Pellets)	Powder Keg (PolyChloroPrene Pellets)	Chemical Silo (PolyChloroPrene Pellets)	Block (PCHL)	Slab (PCHL)	Stairs (PCHL)	0	0	Fibers (MALD)	Mask (Digital Analog Convertor)(PR Traces)	Wafer (Digital Analog Convertor) (3 of 5)	0	0	0	Styrofoam Hat	Styrofoam Vest	Styrofoam Pants	Styrofoam Shoes						0	'[2]Gripped Tools'!#REF!	0	Lead-Acid Battery (9-Cell)		Leather Helmet	Iron Block
109	Custom Object	0	0	0	0	0	Bag (PolyCaprolactone Pellets)	Beaker (Light Olefins)	Flask (Ammonia)	Cartridge (Ammonia)	Canister (Ammonia)	Chemical Tank (Ammonia)	Vial (Hexamethylene Diisocyanate)	Beaker (Hexamethylene Diisocyanate)	Drum (Hexamethylene Diisocyanate)	Chemical Vat (Hexamethylene Diisocyanate)	Bag (Ruthenium)	Sack (Ruthenium)	Powder Keg (Ruthenium)	Chemical Silo (Ruthenium)	Bag (PolyChlorotrifluoroethylene Pellets)	Sack (PolyChlorotrifluoroethylene Pellets)	Powder Keg (PolyChlorotrifluoroethylene Pellets)	Chemical Silo (PolyChlorotrifluoroethylene Pellets)	Block (PCTFE)	Slab (PCTFE)	Stairs (PCTFE)	0	0	Fibers (NBR)	Mask (Digital Analog Convertor)(PR Encapsulation)	Wafer (Digital Analog Convertor) (4 of 5)	0	0	0	Spandex Hat	Spandex Jacket	Spandex Pants	Spandex Shoes						0	'[2]Gripped Tools'!#REF!	0	Lithium Ion Battery (1-Cell)		Leather Chestplate	Double Stone Slab
5	Internal Object	0	0	0	0	0	Bag (PolyCarbonate Pellets)	Drum (Light Olefins)	Bag (Ammonium Bicarbonate)	Sack (Ammonium Bicarbonate)	Powder Keg (Ammonium Bicarbonate)	Chemical Silo (Ammonium Bicarbonate)	Vial (Isopherone Diisocyanate)	Beaker (Isopherone Diisocyanate)	Drum (Isopherone Diisocyanate)	Chemical Vat (Isopherone Diisocyanate)	Bag (Rhodium)	Sack (Rhodium)	Powder Keg (Rhodium)	Chemical Silo (Rhodium)	Bag (PolyDiMethylSiloxane Pellets)	Sack (PolyDiMethylSiloxane Pellets)	Powder Keg (PolyDiMethylSiloxane Pellets)	Chemical Silo (PolyDiMethylSiloxane Pellets)	Block (PDMS)	Slab (PDMS)	Stairs (PDMS)	0	0	Fibers (PFA)	Mask (Amplifier)(PR Backplane)	Wafer (Digital Analog Convertor)	0	0	0	Zippered Hat	Zippered Jacket	Zippered Pants	Zippered Shoes						0	'[2]Gripped Tools'!#REF!	0	Lithium Ion Battery (9-Cell)		Leather Leggings	Stone Slab
171	Minecraft Item	0	0	0	0	0	Bag (PolyChloroPrene Pellets)	Vial (Light Parrafins)	Bag (Ammonium Bifluoride)	Sack (Ammonium Bifluoride)	Powder Keg (Ammonium Bifluoride)	Chemical Silo (Ammonium Bifluoride)	Vial (1,4-Diisopropylbenzene)	Beaker (1,4-Diisopropylbenzene)	Drum (1,4-Diisopropylbenzene)	Chemical Vat (1,4-Diisopropylbenzene)	Bag (Palladium)	Sack (Palladium)	Powder Keg (Palladium)	Chemical Silo (Palladium)	Bag (PolyEther Ether Ketone Pellets)	Sack (PolyEther Ether Ketone Pellets)	Powder Keg (PolyEther Ether Ketone Pellets)	Chemical Silo (PolyEther Ether Ketone Pellets)	Block (PEEK)	Slab (PEEK)	Stairs (PEEK)	0	0	Fibers (PALD)	Mask (Amplifier)(PR Semiconductor)	Wafer (Amplifier) (1 of 5)	0	0	0	Spectra Helmet	Spectra Chestplate	Spectra Leggings	Spectra Boots						0	'[2]Gripped Tools'!#REF!	0	Nickel Metal Hydride Battery (1-Cell)		Leather Boots	Brick Block
174	Minecraft Block	0	0	0	0	0	Bag (PolyChlorotrifluoroethylene Pellets)	Beaker (Light Parrafins)	Bag (Ammonium Bromide)	Sack (Ammonium Bromide)	Powder Keg (Ammonium Bromide)	Chemical Silo (Ammonium Bromide)	Bag (Catechol)	Sack (Catechol)	Powder Keg (Catechol)	Chemical Silo (Catechol)	Bag (Silver)	Sack (Silver)	Powder Keg (Silver)	Chemical Silo (Silver)	Bag (PolyEtherImide Pellets)	Sack (PolyEtherImide Pellets)	Powder Keg (PolyEtherImide Pellets)	Chemical Silo (PolyEtherImide Pellets)	Block (PEI)	Slab (PEI)	Stairs (PEI)	0	0	Fibers (Phenol Formaldehydes)	Mask (Amplifier)(PR Dielectric)	Wafer (Amplifier) (2 of 5)	0	0	0	The Emperor's New Kevlar Helmet	The Emperor's New Kevlar Vest	The Emperor's New Kevlar Pants	The Emperor's New Kevlar Shoes						0	'[2]Gripped Tools'!#REF!	0	Nickel Metal Hydride Battery (9-Cell)		Chainmail Helmet	Tnt
		0	0	0	0	0	Bag (PolyDiMethylSiloxane Pellets)	Drum (Light Parrafins)	Bag (Ammonium Carbonate)	Sack (Ammonium Carbonate)	Powder Keg (Ammonium Carbonate)	Chemical Silo (Ammonium Carbonate)	Bag (Anthracene)	Sack (Anthracene)	Powder Keg (Anthracene)	Chemical Silo (Anthracene)	Bag (Cadmium)	Sack (Cadmium)	Powder Keg (Cadmium)	Chemical Silo (Cadmium)	Bag (PolyEthyl Acrylate Pellets)	Sack (PolyEthyl Acrylate Pellets)	Powder Keg (PolyEthyl Acrylate Pellets)	Chemical Silo (PolyEthyl Acrylate Pellets)	Block (PEA)	Slab (PEA)	Stairs (PEA)	0	0	Fibers (PHBV)	Mask (Amplifier)(PR Traces)	Wafer (Amplifier) (3 of 5)	0	0	0	Butyl Rubber Swim Cap	Butyl Rubber Wetsuit	Butyl Rubber Pants	Butyl Rubber Booties						0	'[2]Gripped Tools'!#REF!	0	Scuba Mask Light (Beginner)		Chainmail Chestplate	Bookshelf
		0	0	0	0	0	Bag (PolyEther Ether Ketone Pellets)	Vial (N-Ethylidenecyclohexylamine)	Bag (Ammonium Chloride)	Sack (Ammonium Chloride)	Powder Keg (Ammonium Chloride)	Chemical Silo (Ammonium Chloride)	Bag (Chromium (VI) Oxide)	Sack (Chromium (VI) Oxide)	Powder Keg (Chromium (VI) Oxide)	Chemical Silo (Chromium (VI) Oxide)	Bag (Indium)	Sack (Indium)	Powder Keg (Indium)	Chemical Silo (Indium)	Bag (PolyEthylene Adipate Pellets)	Sack (PolyEthylene Adipate Pellets)	Powder Keg (PolyEthylene Adipate Pellets)	Chemical Silo (PolyEthylene Adipate Pellets)	Block (PEAd)	Slab (PEAd)	Stairs (PEAd)	0	0	Fibers (P1B)	Mask (Amplifier)(PR Encapsulation)	Wafer (Amplifier) (4 of 5)	0	0	0	Synthetic Rubber Swim Cap	Synthetic Rubber Wetsuit	Synthetic Rubber Pants	Synthetic Rubber Booties						0	'[2]Gripped Tools'!#REF!	0	Scuba Mask Light (Intermediate)		Chainmail Leggings	Mossy Cobblestone
		0	0	0	0	0	Bag (PolyEtherImide Pellets)	Beaker (N-Ethylidenecyclohexylamine)	Bag (Ammonium Nitrate)	Sack (Ammonium Nitrate)	Powder Keg (Ammonium Nitrate)	Chemical Silo (Ammonium Nitrate)	Bag (9,10-Anthraquinone)	Sack (9,10-Anthraquinone)	Powder Keg (9,10-Anthraquinone)	Chemical Silo (9,10-Anthraquinone)	Bag (Tin)	Sack (Tin)	Powder Keg (Tin)	Chemical Silo (Tin)	Bag (PolyEthylene Glycol Pellets)	Sack (PolyEthylene Glycol Pellets)	Powder Keg (PolyEthylene Glycol Pellets)	Chemical Silo (PolyEthylene Glycol Pellets)	Block (PEG)	Slab (PEG)	Stairs (PEG)	0	0	Fibers (PDPE)	Mask (OLED Array)(PR Backplane)	Wafer (Amplifier)	0	0	0	Synthetic Rubber (II) Swim Cap	Synthetic Rubber (II) Wetsuit	Synthetic Rubber (II) Pants	Synthetic Rubber (II) Booties						0	'[2]Gripped Tools'!#REF!	0	Scuba Mask Light (Advanced)		Chainmail Boots	Obsidian
		0	0	0	0	0	Bag (PolyEthyl Acrylate Pellets)	Drum (N-Ethylidenecyclohexylamine)	Bag (Ammonium Persulfate)	Sack (Ammonium Persulfate)	Powder Keg (Ammonium Persulfate)	Chemical Silo (Ammonium Persulfate)	Bag (Phthalic Anhydride)	Sack (Phthalic Anhydride)	Powder Keg (Phthalic Anhydride)	Chemical Silo (Phthalic Anhydride)	Bag (Antimony)	Sack (Antimony)	Powder Keg (Antimony)	Chemical Silo (Antimony)	Bag (PolyEthylene Hexamethylene Dicarbamate Pellets)	Sack (PolyEthylene Hexamethylene Dicarbamate Pellets)	Powder Keg (PolyEthylene Hexamethylene Dicarbamate Pellets)	Chemical Silo (PolyEthylene Hexamethylene Dicarbamate Pellets)	Block (PEHD)	Slab (PEHD)	Stairs (PEHD)	0	0	Fibers (PHB)	Mask (OLED Array)(PR Semiconductor)	Wafer (OLED Array) (1 of 5)	0	0	0	SBR Swim Cap	SBR Wetsuit	SBR Pants	SBR Booties						0	'[2]Gripped Tools'!#REF!	0	Scuba Mask Light (Pro)		Iron Helmet	Torch
		0	0	0	0	0	Bag (PolyEthylene Adipate Pellets)	Vial (IsoButane)	Bag (Ammonium Phosphate)	Sack (Ammonium Phosphate)	Powder Keg (Ammonium Phosphate)	Chemical Silo (Ammonium Phosphate)	Bag (Maleic Anhydride)	Sack (Maleic Anhydride)	Powder Keg (Maleic Anhydride)	Chemical Silo (Maleic Anhydride)	Bag (Tellurium)	Sack (Tellurium)	Powder Keg (Tellurium)	Chemical Silo (Tellurium)	Bag (PolyEthylene Naphthalate Pellets)	Sack (PolyEthylene Naphthalate Pellets)	Powder Keg (PolyEthylene Naphthalate Pellets)	Chemical Silo (PolyEthylene Naphthalate Pellets)	Block (PEN)	Slab (PEN)	Stairs (PEN)	0	0	Fibers (PHEMA)	Mask (OLED Array)(PR Dielectric)	Wafer (OLED Array) (2 of 5)	0			NBR Swim Cap	NBR Wetsuit	NBR Pants	NBR Booties						0	'[2]Gripped Tools'!#REF!	0	Jet Pack (Intermediate)		Iron Chestplate	Fire
		0	0		0	0	Bag (PolyEthylene Glycol Pellets)	Beaker (IsoButane)	Bag (Ammonium Hydroxide)	Sack (Ammonium Hydroxide)	Powder Keg (Ammonium Hydroxide)	Chemical Silo (Ammonium Hydroxide)	Bag (Disodium Hydroquinone)	Sack (Disodium Hydroquinone)	Powder Keg (Disodium Hydroquinone)	Chemical Silo (Disodium Hydroquinone)	Bag (Iodine)	Sack (Iodine)	Powder Keg (Iodine)	Chemical Silo (Iodine)	Bag (PolyEthylene Oxide Pellets)	Sack (PolyEthylene Oxide Pellets)	Powder Keg (PolyEthylene Oxide Pellets)	Chemical Silo (PolyEthylene Oxide Pellets)	Block (PEO)	Slab (PEO)	Stairs (PEO)	0	0	Fibers (PAA)	Mask (OLED Array)(PR Traces)	Wafer (OLED Array) (3 of 5)	0			HNBR Swim Cap	HNBR Wetsuit	HNBR Pants	HNBR Booties						0	'[2]Gripped Tools'!#REF!	0	Jet Pack (Advanced)		Iron Leggings	Mob Spawner
		0	0		0	0	Bag (PolyEthylene Hexamethylene Dicarbamate Pellets)	Drum (IsoButane)	Bag (Amylose)	Sack (Amylose)	Powder Keg (Amylose)	Chemical Silo (Amylose)	Vial (Cyclopentadiene)	Beaker (Cyclopentadiene)	Drum (Cyclopentadiene)	Chemical Vat (Cyclopentadiene)	Flask (Xenon)	Cartridge (Xenon)	Canister (Xenon)	Chemical Tank (Xenon)	Bag (PolyEthylene Sulphide Pellets)	Sack (PolyEthylene Sulphide Pellets)	Powder Keg (PolyEthylene Sulphide Pellets)	Chemical Silo (PolyEthylene Sulphide Pellets)	Block (PES)	Slab (PES)	Stairs (PES)	0	0	Fibers (PAN)	Mask (OLED Array)(PR Encapsulation)	Wafer (OLED Array) (4 of 5)	0			CIIR Swim Cap	CIIR Wetsuit	CIIR Pants	CIIR Booties						0	'[2]Gripped Tools'!#REF!	0	Jet Pack (Pro)		Iron Boots	Oak Stairs
		0	0		0	0	Bag (PolyEthylene Naphthalate Pellets)	Vial (Naphtha)	Vial (Anthocyanin)	Beaker (Anthocyanin)	Drum (Anthocyanin)	Chemical Vat (Anthocyanin)	Flask (Nitrogen Dioxide)	Cartridge (Nitrogen Dioxide)	Canister (Nitrogen Dioxide)	Chemical Tank (Nitrogen Dioxide)	Bag (Caesium)	Sack (Caesium)	Powder Keg (Caesium)	Chemical Silo (Caesium)	Bag (PolyEthylene Terephthalate Pellets)	Sack (PolyEthylene Terephthalate Pellets)	Powder Keg (PolyEthylene Terephthalate Pellets)	Chemical Silo (PolyEthylene Terephthalate Pellets)	Block (PET)	Slab (PET)	Stairs (PET)	0	0	Fibers (PBR (low grade))	0	Wafer (OLED Array)	0			BIIR Swim Cap	BIIR Wetsuit	BIIR Pants	BIIR Booties						0	'[2]Gripped Tools'!#REF!	0	Carbon Fiber Weave		Diamond Helmet	Chest
